Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population ages 00-04, male",SP.POP.0004.MA,Least developed countries: UN classification,LDC,78694301,80212061,81702469,83106093,84474112
"Population ages 00-04, male",SP.POP.0004.MA,Lebanon,LBN,263246,248585,240568,235185,232520
"Population ages 00-04, male",SP.POP.0004.MA,Lesotho,LSO,141820,140376,138422,136179,134213
"Population ages 00-04, male",SP.POP.0004.MA,Liberia,LBR,378197,380907,384024,387474,391567
"Population ages 00-04, male",SP.POP.0004.MA,Libya,LBY,354038,348417,342896,337223,330753
"Population ages 00-04, male",SP.POP.0004.MA,Liechtenstein,LIE,960,956,958,962,970
"Population ages 00-04, male",SP.POP.0004.MA,Lithuania,LTU,75358,73499,70620,68165,66019
"Population ages 00-04, male",SP.POP.0004.MA,Low & middle income,LMY,315275702,312298920,308114734,303306783,299170008
"Population ages 00-04, male",SP.POP.0004.MA,Low income,LIC,53237615,54432415,55636695,56783249,57920130
"Population ages 00-04, male",SP.POP.0004.MA,Lower middle income,LMC,160038536,159437788,158604727,157985977,157643804
"Population ages 00-04, male",SP.POP.0004.MA,Luxembourg,LUX,16715,16833,17024,17224,17394
"Population ages 00-04, male",SP.POP.0004.MA,"Macao SAR, China",MAC,18014,17682,16645,15396,14285
"Population ages 00-04, male",SP.POP.0004.MA,Madagascar,MDG,2143106,2193049,2242303,2287446,2326898
"Population ages 00-04, male",SP.POP.0004.MA,Malawi,MWI,1457608,1474099,1495398,1519229,1543873
"Population ages 00-04, male",SP.POP.0004.MA,Malaysia,MYS,1374044,1329343,1267031,1209979,1167453
"Population ages 00-04, male",SP.POP.0004.MA,Maldives,MDV,18143,17677,17202,16629,15999
"Population ages 00-04, male",SP.POP.0004.MA,Mali,MLI,1955559,1988117,2024236,2061678,2101570
"Population ages 00-04, male",SP.POP.0004.MA,Malta,MLT,12274,12130,11783,11788,11960
"Population ages 00-04, male",SP.POP.0004.MA,Marshall Islands,MHL,2423,2382,2349,2295,2218
"Population ages 00-04, male",SP.POP.0004.MA,Mauritania,MRT,374666,382374,389978,397488,404941
"Population ages 00-04, male",SP.POP.0004.MA,Mauritius,MUS,30728,30113,29702,29499,29494
"Population ages 00-04, male",SP.POP.0004.MA,Mexico,MEX,5411068,5351544,5310528,5280054,5246590
"Population ages 00-04, male",SP.POP.0004.MA,"Micronesia, Fed. Sts.",FSM,6269,6259,6259,6258,6255
"Population ages 00-04, male",SP.POP.0004.MA,Middle East & North Africa,MEA,26310209,25983174,25548600,25275528,25115596
"Population ages 00-04, male",SP.POP.0004.MA,Middle East & North Africa (excluding high income),MNA,23631071,23298580,22972418,22693836,22537325
"Population ages 00-04, male",SP.POP.0004.MA,Middle East & North Africa (IDA & IBRD countries),TMN,23281483,22946893,22620528,22342344,22185418
"Population ages 00-04, male",SP.POP.0004.MA,Middle income,MIC,262038087,257866505,252478039,246523534,241249878
"Population ages 00-04, male",SP.POP.0004.MA,Moldova,MDA,95751,91018,85589,79394,73769
"Population ages 00-04, male",SP.POP.0004.MA,Monaco,MCO,914,940,924,915,924
"Population ages 00-04, male",SP.POP.0004.MA,Mongolia,MNG,204986,201857,195371,188943,182941
"Population ages 00-04, male",SP.POP.0004.MA,Montenegro,MNE,19439,19202,18954,18733,18530
"Population ages 00-04, male",SP.POP.0004.MA,Morocco,MAR,1673906,1666206,1655156,1640554,1624002
"Population ages 00-04, male",SP.POP.0004.MA,Mozambique,MOZ,2600631,2662456,2725310,2788188,2849450
"Population ages 00-04, male",SP.POP.0004.MA,Myanmar,MMR,2324854,2321439,2310571,2295431,2279294
"Population ages 00-04, male",SP.POP.0004.MA,Namibia,NAM,186521,192418,199448,204279,204609
"Population ages 00-04, male",SP.POP.0004.MA,Nauru,NRU,782,772,756,752,751
"Population ages 00-04, male",SP.POP.0004.MA,Nepal,NPL,1480809,1464876,1452421,1443308,1431934
"Population ages 00-04, male",SP.POP.0004.MA,Netherlands,NLD,444923,442964,444217,448411,450131
"Population ages 00-04, male",SP.POP.0004.MA,New Caledonia,NCL,10715,10651,10629,10616,10643
"Population ages 00-04, male",SP.POP.0004.MA,New Zealand,NZL,156653,157473,155421,153021,154310
"Population ages 00-04, male",SP.POP.0004.MA,Nicaragua,NIC,339691,338321,336844,335211,333724
"Population ages 00-04, male",SP.POP.0004.MA,Niger,NER,2196170,2236554,2275199,2317851,2369724
"Population ages 00-04, male",SP.POP.0004.MA,Nigeria,NGA,16898430,16850028,16826998,16868030,16969739
"Population ages 00-04, male",SP.POP.0004.MA,North America,NAC,10811576,10683005,10468509,10349101,10281727
"Population ages 00-04, male",SP.POP.0004.MA,North Macedonia,MKD,54721,53079,51740,50727,49234
"Population ages 00-04, male",SP.POP.0004.MA,Northern Mariana Islands,MNP,1775,1732,1726,1697,1653
"Population ages 00-04, male",SP.POP.0004.MA,Norway,NOR,150631,147506,144695,143128,141775
"Population ages 00-04, male",SP.POP.0004.MA,Not classified,INX,..,..,..,..,..
"Population ages 00-04, male",SP.POP.0004.MA,OECD members,OED,39566167,38927437,38082928,37458785,36889836
"Population ages 00-04, male",SP.POP.0004.MA,Oman,OMN,223603,224081,223091,221835,217885
"Population ages 00-04, male",SP.POP.0004.MA,Other small states,OSS,575612,572206,568306,563428,558373
"Population ages 00-04, male",SP.POP.0004.MA,Pacific island small states,PSS,160922,160031,159346,158762,158251
"Population ages 00-04, male",SP.POP.0004.MA,Pakistan,PAK,15772049,15842160,15970353,16121105,16257247
"Population ages 00-04, male",SP.POP.0004.MA,Palau,PLW,561,538,524,512,505
"Population ages 00-04, male",SP.POP.0004.MA,Panama,PAN,197900,195227,191625,187942,184659
"Population ages 00-04, male",SP.POP.0004.MA,Papua New Guinea,PNG,618506,623407,628019,632136,635246
"Population ages 00-04, male",SP.POP.0004.MA,Paraguay,PRY,348808,349593,349419,348612,347382
"Population ages 00-04, male",SP.POP.0004.MA,Peru,PER,1378802,1376666,1375133,1373378,1370861
"Population ages 00-04, male",SP.POP.0004.MA,Philippines,PHL,5800653,5666445,5428615,5174135,4941717
"Population ages 00-04, male",SP.POP.0004.MA,Poland,POL,971697,966299,928171,898135,862433
"Population ages 00-04, male",SP.POP.0004.MA,Portugal,PRT,219270,220246,219660,219022,221722
"Population ages 00-04, male",SP.POP.0004.MA,Post-demographic dividend,PST,28645372,28114598,27412394,26823140,26310586
"Population ages 00-04, male",SP.POP.0004.MA,Pre-demographic dividend,PRE,80144865,81200245,82297405,83422016,84632190
"Population ages 00-04, male",SP.POP.0004.MA,Puerto Rico,PRI,59380,57876,54128,51168,49701
"Population ages 00-04, male",SP.POP.0004.MA,Qatar,QAT,72066,79809,71914,73536,70714
"Population ages 00-04, male",SP.POP.0004.MA,Romania,ROU,514941,514546,507454,496585,486907
"Population ages 00-04, male",SP.POP.0004.MA,Russian Federation,RUS,4518455,4287709,4049103,3837769,3659470
"Population ages 00-04, male",SP.POP.0004.MA,Rwanda,RWA,912191,922567,931083,939313,948116
"Population ages 00-04, male",SP.POP.0004.MA,Samoa,WSM,15089,15157,15102,14919,14642
"Population ages 00-04, male",SP.POP.0004.MA,San Marino,SMR,669,640,610,591,575
"Population ages 00-04, male",SP.POP.0004.MA,Sao Tome and Principe,STP,14977,14929,15033,15215,15504
"Population ages 00-04, male",SP.POP.0004.MA,Saudi Arabia,SAU,1421836,1433218,1338260,1332951,1333324
"Population ages 00-04, male",SP.POP.0004.MA,Senegal,SEN,1238956,1245585,1251137,1255705,1264266
"Population ages 00-04, male",SP.POP.0004.MA,Serbia,SRB,164174,163402,162142,158167,156377
"Population ages 00-04, male",SP.POP.0004.MA,Seychelles,SYC,3640,3620,3607,4307,4237
"Population ages 00-04, male",SP.POP.0004.MA,Sierra Leone,SLE,562082,569009,576024,582037,587328
"Population ages 00-04, male",SP.POP.0004.MA,Singapore,SGP,119969,118440,112561,114106,119055
"Population ages 00-04, male",SP.POP.0004.MA,Sint Maarten (Dutch part),SXM,1106,1048,983,947,949
"Population ages 00-04, male",SP.POP.0004.MA,Slovak Republic,SVK,150321,150661,149438,146695,142716
"Population ages 00-04, male",SP.POP.0004.MA,Slovenia,SVN,52429,51823,51293,50440,49391
"Population ages 00-04, male",SP.POP.0004.MA,Small states,SST,865150,859675,853948,847520,841220
"Population ages 00-04, male",SP.POP.0004.MA,Solomon Islands,SLB,52853,52885,53018,53234,53513
"Population ages 00-04, male",SP.POP.0004.MA,Somalia,SOM,1558754,1609605,1661042,1697958,1733406
"Population ages 00-04, male",SP.POP.0004.MA,South Africa,ZAF,2797897,2806013,2860193,2922504,2960034
"Population ages 00-04, male",SP.POP.0004.MA,South Asia,SAS,91800953,91394331,90791145,90279768,89886448
"Population ages 00-04, male",SP.POP.0004.MA,South Asia (IDA & IBRD),TSA,91800953,91394331,90791145,90279768,89886448
"Population ages 00-04, male",SP.POP.0004.MA,South Sudan,SSD,725207,718168,718988,723773,751473
"Population ages 00-04, male",SP.POP.0004.MA,Spain,ESP,1037686,1001942,959694,929725,914538
"Population ages 00-04, male",SP.POP.0004.MA,Sri Lanka,LKA,841540,831117,827414,816853,800551
"Population ages 00-04, male",SP.POP.0004.MA,St. Kitts and Nevis,KNA,1529,1502,1475,1456,1438
"Population ages 00-04, male",SP.POP.0004.MA,St. Lucia,LCA,5328,5300,5265,5223,5175
"Population ages 00-04, male",SP.POP.0004.MA,St. Martin (French part),MAF,1079,962,995,967,945
"Population ages 00-04, male",SP.POP.0004.MA,St. Vincent and the Grenadines,VCT,3821,3652,3486,3345,3235
"Population ages 00-04, male",SP.POP.0004.MA,Sub-Saharan Africa,SSF,90513906,91812544,93199459,94626342,96055249
"Population ages 00-04, male",SP.POP.0004.MA,Sub-Saharan Africa (excluding high income),SSA,90510266,91808924,93195852,94622035,96051012
"Population ages 00-04, male",SP.POP.0004.MA,Sub-Saharan Africa (IDA & IBRD countries),TSS,90513906,91812544,93199459,94626342,96055249
"Population ages 00-04, male",SP.POP.0004.MA,Sudan,SDN,3599544,3695141,3781797,3863275,3884359
"Population ages 00-04, male",SP.POP.0004.MA,Suriname,SUR,27634,27405,27238,27161,27152
"Population ages 00-04, male",SP.POP.0004.MA,Sweden,SWE,310298,307718,304122,299272,290629
"Population ages 00-04, male",SP.POP.0004.MA,Switzerland,CHE,224584,224339,224598,224013,223081
"Population ages 00-04, male",SP.POP.0004.MA,Syrian Arab Republic,SYR,984077,993888,1029231,1085614,1162192
"Population ages 00-04, male",SP.POP.0004.MA,Tajikistan,TJK,674356,675603,677954,682639,684690
"Population ages 00-04, male",SP.POP.0004.MA,Tanzania,TZA,4977474,5110405,5240163,5357843,5467509
"Population ages 00-04, male",SP.POP.0004.MA,Thailand,THA,1810970,1749586,1692577,1641690,1597780
"Population ages 00-04, male",SP.POP.0004.MA,Timor-Leste,TLS,83378,84117,83965,82423,80055
"Population ages 00-04, male",SP.POP.0004.MA,Togo,TGO,644193,653231,661483,669131,676728
"Population ages 00-04, male",SP.POP.0004.MA,Tonga,TON,6515,6305,6173,6138,6127
"Population ages 00-04, male",SP.POP.0004.MA,Trinidad and Tobago,TTO,42385,41819,40978,39985,39066
"Population ages 00-04, male",SP.POP.0004.MA,Tunisia,TUN,538051,524625,504200,481676,462454
"Population ages 00-04, male",SP.POP.0004.MA,Turkiye,TUR,3382706,3251590,3104228,2980007,2867602
"Population ages 00-04, male",SP.POP.0004.MA,Turkmenistan,TKM,420017,422587,421592,418073,413130
"Population ages 00-04, male",SP.POP.0004.MA,Turks and Caicos Islands,TCA,1265,1297,1314,1320,1317
"Population ages 00-04, male",SP.POP.0004.MA,Tuvalu,TUV,621,612,605,594,581
"Population ages 00-04, male",SP.POP.0004.MA,Uganda,UGA,3660690,3750524,3844030,3932814,4010306
"Population ages 00-04, male",SP.POP.0004.MA,Ukraine,UKR,1058197,995781,934925,801765,672229
"Population ages 00-04, male",SP.POP.0004.MA,United Arab Emirates,ARE,271836,269682,271181,282367,287524
"Population ages 00-04, male",SP.POP.0004.MA,United Kingdom,GBR,1984272,1953699,1905793,1868650,1834174
"Population ages 00-04, male",SP.POP.0004.MA,United States,USA,9819024,9698499,9496544,9376764,9297778
"Population ages 00-04, male",SP.POP.0004.MA,Upper middle income,UMC,101999551,98428717,93873312,88537557,83606074
"Population ages 00-04, male",SP.POP.0004.MA,Uruguay,URY,111629,105757,99480,94018,90056
"Population ages 00-04, male",SP.POP.0004.MA,Uzbekistan,UZB,1917162,1975294,2052157,2145257,2236976
"Population ages 00-04, male",SP.POP.0004.MA,Vanuatu,VUT,22233,22403,22539,22636,22713
"Population ages 00-04, male",SP.POP.0004.MA,"Venezuela, RB",VEN,1295097,1229188,1171057,1122927,1088891
"Population ages 00-04, male",SP.POP.0004.MA,Viet Nam,VNM,4092834,3983827,3895007,3824674,3768779
"Population ages 00-04, male",SP.POP.0004.MA,Virgin Islands (U.S.),VIR,2957,2913,2945,2973,2991
"Population ages 00-04, male",SP.POP.0004.MA,West Bank and Gaza,PSE,349588,351687,351890,351492,351907
"Population ages 00-04, male",SP.POP.0004.MA,World,WLD,354290946,350515471,345189042,339582664,334765288
"Population ages 00-04, male",SP.POP.0004.MA,"Yemen, Rep.",YEM,2883774,2973821,3059985,3143678,3226837
"Population ages 00-04, male",SP.POP.0004.MA,Zambia,ZMB,1481765,1504044,1527156,1551643,1577027
"Population ages 00-04, male",SP.POP.0004.MA,Zimbabwe,ZWE,1135881,1131690,1136549,1148479,1163173
"Population ages 00-04, female",SP.POP.0004.FE,Africa Western and Central,AFW,36822061,36967459,37141787,37387702,37754734
